stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
DLQ,DLQ,DALELNAGAR,DALELNAGAR,,27.1185,80.4196,,,0,,Asia/Kolkata,0,,,
DLR,DLR,DULLAHAPUR,DULLAHAPUR,,25.7994,83.4227,,,0,,Asia/Kolkata,0,,,
DLSR,DLSR,DALHOGI ROAD,DALHOGI ROAD,,32.288584,75.750363,,,0,,Asia/Kolkata,0,,,
DLW,DLW,DILWA,DILWA,,24.5375,85.4199,,,0,,Asia/Kolkata,0,,,
DLX,DLX,DALIMGAON,DALIMGAON,,25.6402,88.386,,,0,,Asia/Kolkata,0,,,
DLZ,DLZ,DHOLBAJA,DHOLBAJA,,26.27433,87.270927,,,0,,Asia/Kolkata,0,,,
DMA,DMA,DAMODAR JN.,DAMODAR JN.,,23.651011,86.908507,,,0,,Asia/Kolkata,0,,,
DMBR,DMBR,DUMRI BIHAR(E),DUMRI BIHAR(E),,23.8073,85.7661,,,0,,Asia/Kolkata,0,,,
DMC,DMC,DHEMAJI,DHEMAJI,,27.489106,94.542298,,,0,,Asia/Kolkata,0,,,
DMD,DMD,DHARMADAM,DHARMADAM,,11.7786,75.4635,,,0,,Asia/Kolkata,0,,,
DME,DME,DAMNAGAR,DAMNAGAR,,21.688616,71.509323,,,0,,Asia/Kolkata,0,,,
DMF,DMF,DUMERTA,DUMERTA,,22.1861,84.9151,,,0,,Asia/Kolkata,0,,,
DMG,DMG,DOMINGARH,DOMINGARH,,26.7647,83.3415,,,0,,Asia/Kolkata,0,,,
DMGN,DMGN,DHAMALGAON,DHAMALGAON,,27.325186,94.856189,,,0,,Asia/Kolkata,0,,,
DMH,DMH,DAURAM MADHPURA,DAURAM MADHPURA,,25.908683,86.782808,,,0,,Asia/Kolkata,0,,,
DMJR,DMJR,DOMJUR ROAD,DOMJUR ROAD,,22.635639,88.221931,,,0,,Asia/Kolkata,0,,,
DMK,DMK,DILMILI,DILMILI,,18.987873,81.738281,,,0,,Asia/Kolkata,0,,,
DML,DML,DHARAMTUL,DHARAMTUL,,26.189177,92.36721,,,0,,Asia/Kolkata,0,,,
DMLE,DMLE,DUMURDAHA,DUMURDAHA,,23.039693,88.432302,,,0,,Asia/Kolkata,0,,,
DMM,DMM,DHARMAVARAM JN,DHARMAVARAM JN,,14.4245,77.7172,,,0,,Asia/Kolkata,0,,,
DMN,DMN,DHAMANGAON,DHAMANGAON,,20.784604,78.137984,,,0,,Asia/Kolkata,0,,,
DMNJ,DMNJ,DAMAN JODI,DAMAN JODI,,18.7682,82.8662,,,0,,Asia/Kolkata,0,,,
DMO,DMO,DAMOH,DAMOH,,23.836543,79.432096,,,0,,Asia/Kolkata,0,,,
DMP,DMP,DHARAMPUR HIMACHAL,DHARAMPUR HIMACHAL,,30.900071,77.023494,,,0,,Asia/Kolkata,0,,,
DMPR,DMPR,DHARAMPUR,DHARAMPUR,,28.149806,78.265228,,,0,,Asia/Kolkata,0,,,
DMR,DMR,DHARMANAGAR,DHARMANAGAR,,24.367426,92.168727,,,0,,Asia/Kolkata,0,,,
DMRT,DMRT,DUMURIPUT,DUMURIPUT,,18.780217,82.803783,,,0,,Asia/Kolkata,0,,,
DMRX,DMRX,DUMRI,DUMRI,,25.253391,86.024494,,,0,,Asia/Kolkata,0,,,
DMSR,DMSR,DHIMSIRI,DHIMSIRI,,27.029393,78.200405,,,0,,Asia/Kolkata,0,,,
DMT,DMT,DIGUVAMETTA,DIGUVAMETTA,,15.3947,78.826,,,0,,Asia/Kolkata,0,,,
DMU,DMU,DHAMUA,DHAMUA,,22.290049,88.392048,,,0,,Asia/Kolkata,0,,,
DMV,DMV,DIMAPUR,DIMAPUR,,25.905942,93.728056,,,0,,Asia/Kolkata,0,,,
DMW,DMW,DALMAU JN,DALMAU JN,,26.07521,81.05361,,,0,,Asia/Kolkata,0,,,
DMYA,DMYA,DAMOY,DAMOY,,23.971278,80.997792,,,0,,Asia/Kolkata,0,,,
DMZ,DMZ,DUMDANGI,DUMDANGI,,26.4769,88.2962,,,0,,Asia/Kolkata,0,,,
DN,DN,DHANARI,DHANARI,,28.340799,78.530445,,,0,,Asia/Kolkata,0,,,
DNA,DNA,DEGANA JN,DEGANA JN,,26.897119,74.316158,,,0,,Asia/Kolkata,0,,,
DNDI,DNDI,DHONDI,DHONDI,,19.106568,76.736412,,,0,,Asia/Kolkata,0,,,
DNDL,DNDL,DANDI MAL,DANDI MAL,,20.714855,85.5338,,,0,,Asia/Kolkata,0,,,
DNE,DNE,DHAMNI,DHAMNI,,19.6474,77.1782,,,0,,Asia/Kolkata,0,,,
DNEA,DNEA,DANEA,DANEA,,23.7994,85.6586,,,0,,Asia/Kolkata,0,,,
